Title,Author,CallNo,AccNo,
A short history of the Middle East: from the rise of Islam to modern times,"Kirk, George E",956 KIR,C11810,
"A short history of the Saracens: being a concise account of the rise and decline of the Saracenic power and of the economic, social and intellectual development of the Arab nation",,953.02 AME,62122,
A simple guide to Islam,Farida Khanam,297 FAR,193293,
A simplified text-cum-workbook on application programming in C,"Salaria, R. S",005.133 SAL,194694,
A social history of the French revolution,"Hampson, Norman",944.06 HAM,23856,
A social theory of the nation-state: the political forms of modernity beyond methodological nationlism,"Chernilo, Daniel",320.101 CHE,254857,
A study in business ethics,Rituparna Raj,174.4 RIT,296854,
A text book electrical estimating & costing,"Anand, M.L.",692.5 ANA,232678,
A text book electrical estimating & costing,"Anand, M.L.",692.5 ANA,232681,
A text book of  transportation engineering,"Arora, N L",629.04 ARO,232932,
A text book of botany angiosperms,"Singh, V",580 SIN,237759,
"A text book of botany: algae, fungi, bacteria, virus, microbiology, plant pathology bryophyta, pterihyta and gymnosperms (including palaeobotany)","Singh, V",580 SIN,237753,
A text book of electrical & electronics,"Mehta, V.K",621.3 MEH,232807,
A text book of electrical machines,"Sahdev,S.K",621.31042 SAH,232817,
A text book of electrical machines: (D.C. and A.C. machines),"Garg, G.C",621.31042 GAR,232606,
A text book of electricity and magnetism,Brij Lal,537 BRI,65963,
A text book of engineering mathematics,"Mishra, V.P.",510.76 MIS,251042,
A text book of fluid mechanics and hydraulic machines,"Bansal, R.K.",621.2 BAN,204257,
"A text book of generation, protection switchgear and economics","Sahdev, S K.",621.317 SAH,232938,
"A text book of generation, protection switchgear and economics","Sahdev, S K.",621.317 SAH,232940,
A text book of geomorphology,"Dayal, P.",551.41 DAY,156082,
A text book of hydrostatics,"Ray, M",532.2 RAY,C7898,
A text book of industrial management,"Kumar, S. S.",658.5 KUM,234993,
A text book of materials science and processes,"Manchanda, V. K.",530.0284 MAN,234985,
A text book of matrices,Shanti Narayan,512.9434 SHA,44766,
A text book of modern algebra,"Balakrishnan, R",512 BAL,154664,
A text book of production engineering,"Dalela, Suresh",670 DAL,251135,
A text book of professional communication,"Chopra, Ravi",651.7 CHO,251138,
A text book of surveying and levelling,"Agor, R.",625.72 AGO,266901,
A text book of technology in SI system of units: in SI system of units,"Theraja, B. L",621.3 THE,109786,
A text book of utilization of electrical energy,"Sahdev, S K",537.6 SAH,232865,
A text book of utilization of electrical energy,"Sahdev, S K",537.6 SAH,232866,
A text book of vector algebra: with applications to geometry and statics,Shanti Narayan,512.5 SHA,98927,
A text book of vector calculus,Shanti Narayan,515.63 SHA,C7991,
A text book on algae,"Kumar, H. D",579.8 KUM,133283,
A text book on engineering chemistry,"Pani, Balaram",540 PAN,251024,
A text book on engineering chemistry,"Pani, Balaram",540 PAN,251025,
A text book on environmental pollution & control,"Bhatia, H. S",363.73 BHA,196320,
A text book on sanitary engineering: M. K. S. Units,"Singhal, R. P.",628.44564 SIN,R7760,
a textbook of botany,"Pandey, S.N.",580 PAN,241424,
"A textbook of botany: bryophyta, pteridophyta, gymnosperms and palaeobotany","Pandey, S.N.",580 PAN,278531,
A textbook of company law,"Gogna, P. P. S.",346.0660263 GOG,235585,
A textbook of construction materials: building materials,"Aggarwal, Amarjit",624.0299 AGG,232097,
A textbook of differential equations: for degree and post graduates courses,"Kapur, N. M",515.35 KAP,113486,
A textbook of electrical engineering materials: including non electrical engineering materials,"Kapoor, P.L",621.3 KAP,232080,
A textbook of electrical technology in SI Units,"Theraja, B. L",621.3 THE,184634,
"A textbook of engineering drawing: geometrical drawing, mechine drawing and building drawing: ... specification","Gupta, R. B",604.2 GUP,107244,
A textbook of engineering mathematics,"Mathur, A. B.",510 MAT,216945,
A textbook of environmental pollution and control,"Trivedi, R. N",628.168 TRI,189568,
A textbook of international relations,"Naik, J. A",327 NAI,175512,
A textbook of machine drawing: in M. K. S. and third angle projection according to 151 specifications,"Gupta, R. B",604.2 GUP,111300,
A textbook of modern algebra,"Balakrishnan, R",512 BAL,195482,
A textbook of optics,"Subrahmanyam, N.",535 SUB,266896,
A textbook of physical chemistry,"Kapoor, K. L.",541.3 KAP,300043,
A textbook of practical physics,Indu Prakash,530 IND,98543,
A textbook of quantum mechanics,"Mathews, P. M",530.12 MAT,205296,
A textbook of research methodology in social sciences,"Tripathi, P C.",300.72 TRI,235891,
A textbook of sound,"Subrahmanyam, N",334 SUB,65525,
A textbook of sound,"Khanna, D. R",534 KHA,C13406,
A textbook of surveying,"Alvi, Zamir",526.9 ALV,179026,
A textbook of topology,"Chatterjee, B.C.",514 CHA,205413,
A textbook of topology,"CHATTERJEE,B.C.",,205416,
A textbook of workshop technology: manufacturing processes,"Khurmi, R.S.",670 KHU,185983,
A textbook on automobile engineering,"Banga, T R",629.2 BAN,232922,
A theory of the comsumption function,"Friedman, Milton",339.47 FRI,63189,
"A topography of cataloguing: showing the most important landmarks, communications and perilous places","Piggott, Mary",025.3 PIG,115702,
A unified theory of the nucleus,"Wildermuthy, K",539.74 WIL,64899,
A.C. & D.C electrical motor winding and repair,"Anwani, M.L",621.46 ANW,232588,
A.C.-D.C.Armature winding,"Joseph, S K.",621.316 JOS,233297,
Abnormal psychology,"Davison, Gerald C",616.89 DAV,199809,
Abnormal psychology,"Carson, Robert C.",616.89 ABN,285887,
Abnormal psychology,"Kring, Ann M.",616.89 ABN,287377,
Abnormal psychology and life: a dimensional approach,"Kearney, Christopher A.",616.89 KEA,286688,
Abnormal psychology and modern life,"Coleman, James C",616.89 COL,114150,
Abnormal psychology and modern life,"Carson, Robert C",616.89 CAR,160219,
Abnormal psychology: an integrative approach,"Barlow, David H",616.89 BAR,194197,
Abnormal psychology: an introduction,"Durand, V. Mark",616.89 DUR,194549,
Abnormal psychology: neuroscience perspectives on human behavior and experience,"Ray, William J.",616.89 RAY,320353,
Abnormal psychology: the problem of maladaptive behavior,"Sarason, Irwin G",616.89 SAR,232659,
Abstract Algebra,"Chatterjee, Dipak",512.02 CHA,201413,
Abstract algebra,"Sheth, I. H.",512.02 SHE,232455,
Abstract algebra,"Dummit, David S.",512.02 DUM,314488,
Academic libraries: role in the national development: Festschrift volume in honour of Prof. N. B. Inamdar,"Isaac, Dorothy",027.70954 ACA,152405,
Accounting and finance for managers,"Ghosh, T.P.",657.024658 GHO,250036,
Accounting for management: text and cases,"Bhattacharyya, S. K.",658.1511 BHA,229747,
Accounting for managers,"Agrawal, A. N.",658.1511 AGA,301299,
Accounting for managers: effective techniques for decision making,"Jayapandian, S.",658.1511 JAY,241734,
Accounting standards,"Sharma, D.G.",657.076 SHA,250029,
Accumulation of capital,"Robinson, Joan",332 ROB,76187,
Acquisitions management and collection development in libraries,"Magrill, Rose Mary",025.2 MAG,106484,
"Acronyms, initialisms, & abbreviations dictionary: a guide to alphabetic designation, contractions, acronyms, initialism, abbreviations and similar condention applications","Crowley, Ellen T",421.3 ACR,91218,
ACSM's resource manual for guidelines for exercise testing and prescription,American college of sports medicine,615.82 AME,300545,
Active and passive analog filter design: an introduction,"Huelsman, Lawrence P.",621.3815324 HUE,182005,
Adams's outline of orthopaedics,"Hamblen, David L.",616.7 HAM,286502,
Addis computer dictionary,"Enquanhone, Nebiu, ed.",004.03 ADD,250879,
Administration and social change,"Jagannadham, V",303.4 JAG,66409,
Administration of policy and programmes for backward classes in India,"Dubey, S. N.",362.50954 DUB,56844,
Administration of public welfare,"White, R. Clyde",362.973 WHI,37890,
Administrative change and innovation: a reader,"Chakrabarty, Bidyut, ed.",351.54 ADM,254877,
Administrative law,"Basu, Durga Das",342.06 BAS,120906,
"Administrative theories: approaches, concepts and thinkers in public administration","Hooja, Rakesh, ed.",351.01 ADM,254886,
Administrative thinkers,"Sharma, Manoj",351.092 SHA,254869,
Advanced accountancy,"Maheshwari, S. N",657.046 MAH,194056,
Advanced accounting with accounting standards,"Kishore, Ravi M.",657.046 KIS,250034,
Advanced accounts,"Shukla, M.C.",657.046 SHU,266960,
Advanced asymmetric synthesis,"Stephenson, G.R.",547.2 ADV,316778,
Advanced calculus,"Widder, David V",515 WID,231595,
Advanced calculus: an introduction to classical analysis,"Brand, Louis",515 BRA,254645,
Advanced compiler design and implementation,"Muchnick, Steven S",005.453 MUC,198792,
Advanced course in practical chemistry,"Nad, A.K.",540 NAD,276962,
Advanced data structures,"Brass, Peter",005.1 BRA,319842,
Advanced database management system,"Jain, V. K",005.74 JAI,201305,
Advanced digital communication systems,National Institutue of Information Technology,621.382 NAT,275574,
Advanced economic theory: microeconomic analysis,"Ahuja, H.L.",330.01 AHU,267254,
Advanced electronic communications systems,"Tomasi, Wayne",621.382 TOM,231096,
Advanced engineering fluid mechanics,"Muralidhar, K",620.106 MUR,173988,
Advanced engineering mathematics,"Kreyszig, Erwin",510 KRE,183582,
Advanced engineering mathematics,"Mathur, A. B",510 MAT,190001,
Advanced engineering mathematics,"Kreyszig, Erwin",510 KRE,205473,
Advanced engineering mathematics,"Kreyszig, Erwin",510 KRE,266990,
Advanced engineering mathematics,"Kreyszig, Erwin",510 KRE,266991,
Advanced engineering mathematics,"Dass, H.K.",510 DAS,285121,
Advanced essays,"Chopra, Ravi",824 CHO,251058,
Advanced fitness assessment and exercise prescription,"Heyward , Vivian H.",613.7 HEY,300427,
Advanced general organic chemistry: a modern approach,"Ghosh, Sachin Kumar",547 GHO,269858,
Advanced geography of India,"Gauatam, Alka",915.4 GAU,239627,
Advanced information technology,"Jaiswal, S.",004 JAI,251315,
Advanced inorganic chemistry,"Cotton, F. Albert",546 ADV,314098,
Advanced machine design,Abdul Mubeen,621.815 ABD,109260,
Advanced management accounting,"Kaplan, Robert S.",658.1511 KAP,176836,
Advanced management accounting,"Kishore, Ravi M.",658.1511 KIS,250057,
Advanced management accounting: text and cases,Jawahar Lal,658.1511 JAW,235577,
"Advanced management accounting: text, problems and cases",Jawahar Lal,658.1511 JAW,316550,
Advanced mechanics of materials,Kamal Kumar.,620.11 KAM,233234,
Advanced mechanics of materials,Kamal Kumar.,620.11 KAM,233236,
Advanced methods of mathematical physics,"Kaushal, R. S.",530.15 KAU,205041,
Advanced molecular biology: a concise reference,"Twyman, Richard M",572.8 TWY,201363,
Advanced organic chemistry,"Bahl, B. S",547 BAH,236638,
Advanced organic chemistry,"Bahl, Arun",547 BAH,285479,
Advanced organic chemistry,"Carey, Francis A",547 CAR,303333,
Advanced organic chemistry: reaction mechanisms,"Bruckner, Reinhard",547.6 BRU,238046,
"Advanced organic chemistry: reactions, mechanisms and structure","March, Jerry",547 MAR,255127,
Advanced physics,,530 GIB,177289,
Advanced practical chemistry,"Bahl, B. S",540 BAH,45081,
Advanced practical organic chemistry,"Leonard, John",547 LEO,317013,
Advanced practical physics,"Sharma, S. S",530 SHA,45385,
Advanced practical physics,Raj Kumar,530 RAJ,49413,
Advanced practical physics,"Chauhan, M. S",530 CHA,74715,
Advanced practical statistics,"Gupta, S. P",310 GUP,188983,
Advanced programming in the UNIX environment,"Stevens, W. Richard",005.42282 STE,238604,
Advanced public administration,"Goel, S.L.",351 GOE,285520,
Advanced quantum mechanics,"Sakurai, J. J.",530.12 SAK,299202,
Advanced reinforced concrete design,"Krishna Raju, N",624.18341 KRI,181857,
Advanced strengh of materials,"Krishnaswamy, K. T",620.11 KRI,111363,
Advanced study in money and banking: theory and policy relevence in the Indian economy,"Khanna, Perminder",332.10954 KHA,260857,
Advanced topics in applied mathematics: for engineers and the physical sciences,"Nair, Sudhakar",530.15 NAI,315763,
Advanced topics of strength of materials,"Jindal, U.C.",620.112 JIN,251164,
Advanced university physics,"Rogalski, Mircea S",530 ROG,237418,
Advanced UNIX: a programmer's guide,"Prata, Stephen",005.382 PRA,238951,
Advanced welding technology,"Tewari, S P.",671.52 TEW,299994,
"Advances in mechanical engineering (AIME-2006): January 20-21, 2006","Khan, R.A., ed.",621 ADV,215468,
Advertising,"Jefkins , Frank",659.10973 JEF,206672,
Advertising management,"Batra, Rajeev",659.1 BAT,195760,
Advertising management,"Rathor, B. S.",659.1 RAT,296751,
Advnanced electronic communications systems,"Tomasi, Wayne",621.382 TOM,275539,
Afirst course in real analysis,"Berberian, Sterling K",515.8 BER,237154,
Agrarian change in a Northern Indian state: Uttar Pradesh 1819-1833,"Siddiqi, Asiya",333.00509541 SID,62280,
Agricultural geography,"Chauhan, Dharmender Singh",910.163 CHA,278318,
"Agricultural geography of South Asia: India, Pakistan, Bangladesh, Sri Lanka, Nepal, Bhutan and Maldives","Shafi, Mohammad",910.163054 SHA,193319,
"Agricultural production functions, costs and returns in India","Hanumantha Rao, C. H",338.160954 HAN,C6616,
Agriculture and economic development,"Ghatak, Subrata",338.1091724 GHA,103238,
"Agriculture, food security, and rural development",Asian Development Bank,338.1854 ASI,277273,
Air conditioning principles and systems: An energy approach,"Pita, Edward G",697.93 PIT,232153,
Air pollution,"Rao, M. Nageshwara",363.7392 RAO,181934,
Aircraft materials and processes,"Titterton, George F",629.1342 TIT,30414,
ALA world encyclopedia of library and information services,"Wedgeworth, R",020.3 ALA,103609,
Alcamo's fundamentals of mic⁲ biology,"Pommerville,Jeffrey C",616.9 POM,276609,
Alcamo's fundamentals of microbiology,"Pommerville, Jeffrey C",579 POM,285289,
Algae: an introduction to phycology,"Hoek, C Van Den",589.3 HOE,317001,
Algebra,"Singal, M. K",512 SIN,44745,
Algebra,"Lang, Serge",512 LAN,180801,
Algebra,"Artin, Michael",512 ART,232462,
Algebra,"Luthar, I S",512 LUT,234567,
Algebra,"Hungerford, Thomas W",512 HUN,238709,
Algebra,"Singal, M.K.",512 SIN,264274,
Algegra,"Lang, Serge",512 LAN,237159,
All about machine tools,"Gerling, Heinrich",621.902 GER,234908,
All about PR,"Haywood, Roger",659.2 HAY,164817,
All India,"Massey, Reginald.",306.0954 ALL,188870,
Al-Mawrid Al-Waseet concise dictionary: english-arabic arabic-english,"Baalbaki, Munir",492.7321 BAA,299904,
Al-Mawrid: a modern english - arabic dictionary,"Ba'albaki, Munir",492.7321 BAA,304489,
Alternating-current circuits,"Kerchner, Russell M",621.38132 KER,55940,
Alternating-current circuits,"Kerchner, Russell M",621.38132 KER,141544,
American minority relations,"Zanden, James W. Vander",323.173 ZAN,63665,
American politics and government: essays in essentials,"Bailey, Stephen K",321.80973 AME,46321,
An advanced history of India,"Majumdar, R. C.",954 MAJ,205727,
An economic history of Europe: 1760-1939,"Birnie, Arthur",330.94 BIR,C5371,
An elementary course in partial differential equations,"Amarnath, T",515.353 AMA,180791,
An elementary treatise on the dynamics of a particle and of rigid bodies,"Loney, S. L",531.163 LON,177276,
An essay on economic growth and planning,"Dobb, Maurice",338.9 DOB,C9887,
An integrated approach to software engineering,"Jalote, Pankaj",005.1 JAL,285357,
An introduction to AACR- 2,Krishan Kumar,025.32 KRI,110081,
An introduction to AACR- 2,"Hunter, Eric J",025.32 HUN,119110,
An introduction to accountancy,"Maheshwari, S. N",657 MAH,200184,
An introduction to bioinformatics algorithms,"Jones, Neil C.",572.80285 JON,265463,
"An introduction to bryophyta: diversity,development and differentiation","Rashid, A",588 RAS,199697,
An introduction to business mathematics,"Sundaresan, V",650.0151 SUN,106663,
An introduction to computer networking,Mansfield Jr. Kenneth C,004.6 MAN,231304,
An introduction to counselling,"McLeod, John",361.06 MCL,189115,
An introduction to data structures with applications,"Tremblay, Jean Paul.",005.73 TRE,235649,
An introduction to database systems,"Date, C.J.",005.74 DAT,299575,
An introduction to design engineering,"Parameswaran, M.A.",624.1771 PAR,240607,
An introduction to digital computer design,"Rajaraman, V",004.2 RAJ,237922,
An introduction to drug design,"Pandeya,S.N.",615.19 PAN,207132,
An introduction to environmental biotechnology,"Wainwright, Milton",628.5 WAI,202133,
An introduction to genetic analysis,"Suzuki, David T",576.5 SUZ,111908,
An introduction to geographical information systems,"Heywood, Ian",910.0285 HEY,207662,
An introduction to high voltage engineering,"Ray,Subir",621.3 RAY,233682,
An introduction to Japanese civilization,"Tiedemann, Arthur E",952 INT,64727,
An introduction to laser spectroscopy,"Andrews, David L., ed.",535.846 INT,258611,
An introduction to linear algebra,"Krishnamurthy, V",512.5 KRI,183739,
An introduction to mathematical treatment of economics,"Archibald, G. C",330.0151 ARC,63506,
An introduction to mathematical treatment of economics,"Archibald, G. C",330.0151 ARC,69621,
An introduction to measure and intergration,"Rana, Inder K.",515.42 RAN,228993,
An introduction to mechanics,"Kleppner, Daniel",531 KLE,197623,
An introduction to microeconomics,"Ray, N. C",338.5 RAY,176755,
An introduction to national income analysis,"Beckerman, Wilfred",339.3 BEC,179797,
An introduction to operating systems,"Deitel, Harvey M.",005.43 DEI,238551,
An introduction to ordinary differential equations,"Coddington, Earl A",515.352 COD,236653,
An introduction to political theory,"Gauba, O. P",320.01 GAU,179464,
An introduction to positive economics,"Lipsey, Richard G",330.1 LIP,C14262,
An introduction to power plant technology,"Rai, G D",621.3121 RAI,233474,
An introduction to psychology,"Murphy, Gardner",150 MUR,C2868,
"An introduction to pteridophyta: diversity, development and differentiation","Rashid, A",578 RAS,199702,
An introduction to social anthropology,"Majumdar, D. N.",306 MAJ,49720,
An introduction to social psychology,"Kuppuswamy, B",302 KUP,196301,
An introduction to social research,"Doey, John T",300.072 INT,Z1,
An introduction to special relativity: physics in spacetime,"Schumacher, Benjamin",530.11 SCH,255184,
An introduction to Stuart drama,"Boas, Frederick S",822.409 BOA,23532,
An introduction to the constitution of India,"Pylee, M. V",342.5402 PYL,196152,
An introduction to the English novel,"Kettle, Arnold",823.09 KET,49139,
An Introduction to the nineteenth edition of the Dewey Decimal,"Batty, C. D",025.431 BAT,104468,
An introduction to the principles of communication theory,"Hancock, John C",623.856 HAN,203434,
An Introduction to the special theory of relativity,"Katz, Robert",530.11 KAT,C10408,
An introduction to theories of social change,"Strasser, Hermann",303.4 STR,99392,
An introduction to univesity library administration,"Thompson, James",027.7 THO,112941,
An introduction to urban geography,"Short, John R",910.91732 SHO,234330,
An introduction to viruses,"Biswas, S. B",579.2 BIS,199652,
An introduction to x-ray crystallography,"Woolfson, M. M",,69672,
An introduction to x-ray spectrometry: x-ray flourescence and electron microprobe analysis,"Williams, K. L",537.5352 WIL,159323,
An introductory course of statistical mechanics,"Pal, Palash B.",530.13 PAL,257326,
An outline history of English literature,"Hudson, William Henry",820.9 HUD,C260,
An outline history of the world,"Davies, H. A",909 DAV,24469,
An outline of American history,,973 OUT,47800,
An outline of money,"Crowther, Geoffrey",332.4 CRO,C4927,
Analog and digital communications,"Hsu, Hwei P.",621.382 HSU,250739,
Analog communication,"Sekar, V. Chandra",621.382 SEK,276149,
Analog computation and simulation,"Rajaraman, V",004.19 RAJ,120362,
Analog electronics,"Maheshwari, L.K.",621.381 MAH,275544,
Analysis and design of information systems,"Rajaraman, V.",004.21 RAJ,299590,
Analysis and interpretation of topographical maps,"Petrie, Nelson",912.0148 PET,242365,
Analysis for marketing planning,"Lehmann, Donald R.",658.8 LEH,256442,
Analysis I,"Lang, Serge",515 LAN,44579,
Analysis instrumentation: an introduction,"Khare, R. P",621.372 KHA,303062,
Analysis of economic systems and microeconomic theory,"Ahuja, H. L",338.5 AHU,196744,
Analysis of financial time series,"Tsay, Ruey S",332.0151955 TSA,286123,
Analysis of Genes and Genomes,"Reece , Richard J .",572.86 REE,228984,
Analysis of linear systems,"Cheng, David K",515.252 CHE,143831,
Analysis of structures: strength and behaviour,"Thandavamoorthy, T.S.",624.171 THA,276070,
"Analysis of structures: theory, design and details of structures","Vazirani, V.N.",624.17 VAZ,317146,
Analysis of thyristor power-conditioned moters,"Pillai, S.K.",621.3 PIL,274843,
Analysis: an introduction,"Beals, Richard",515 BEA,234637,
Analytic solid geometry.,"Chatterjee, Dipak.",516.06 CHA,232472,
Analytical geometry of two dimension,"Chatterjee, Dipak",516.3 CHA,238389,
Anatomy and physiology for physiotherapists,"Singh, Inderbir",611 SIN,285816,
Ancient India: an introductory outline,"Jha, D. N",934 jha,97807,
Ancient Indian social history: some interpretations,"Thapar, Romila",934 THA,198312,
Anglo-American cataloguig rules,,025.32 AME,X1272,
Anglo-American cataloguing rules,American Library Association (Chicago),025.32 AME,117927,
Animal cell culture: a practical approach,"Masters, John R.W",571.638 ANI,206200,
Antennas and radiowave propagation,"Collin, Robert E.",621.38411 COL,168402,
Antennas and wave propagation,"Raju, G. S. N.",621.3824 RAJ,236242,
Anthropology today: an encyclopedic inventory,,306 ANT,R50,
Apley's concise system of orthopaedics and fractures,"Solomon, Louis",617.3 SOL,285815,
Application of Redox and Reagents in organic synthesis,"Kar, Ratan Kumar",547.2 KAR,269864,
Application programming in c,"Salaria, R.S.",005.133 SAL,233201,
Applications of absorption spectroscopy of organic compounds,"Dyer, John R",547.3583 DYE,207033,
Applied Chemistry: theory and practice,"Vermani, O. P",541.2 VER,303652,
Applied data structures with C ++,"Smith, Peter",005.73 SMI,233153,
Applied fluid mechanics,"Roy, D. N",620.106 ROY,149356,
Applied mathematics,"Bhat, N. Raghavendra",519 BHA,181988,
Applied mathematics,"Parashar, Vinod K",519 PAR,196050,
"Applied mathematics for business, economics and the social Sciences","Budnick, Frank S",510 BUD,190034,
Applied mathematics for polytechnics,"Dass, H.K",519 DAS,277779,
Applied mechanics,"Jindal, U. C",620.1 JIN,196063,
Applied mechanics,"Sarao, A.S.",620.1 SAR,277771,
Applied mechanics,"Upadhyay,  A K",620.1 UPA,316735,
Applied mechanics,"Sarao, A.S.",620.1 SAR,316745,
Applied numerical analysis,"Gerald, Curtis F",519.4 GER,238631,
Applied numerical methods,"Gourdin, A",519.4 GOU,174019,
Applied numerical methods for engineers,"Akai, Terrence J",515 AKA,180808,
Applied physics,"Sankaram, T. Bhima",621 SAN,248302,
Applied social psychology in India,"Misra, Girishwar",302.0954 APP,176904,
Applied statistics for business and economics: an essentials version,"Webster, Allen L.",330.021 WEB,297166,
Applied statistics for economists,"Karmel, P. H",330.021 KAR,297073,
Applied thermodynamics,"Ballaney, P. L .",536.7 BAL,233366,
Approach of operational research to planning in India,"Mahalanobis, P. C",338.95405 MAH,23938,
Arab geography being the translation of section II of M. Reinaud's introduction general a la geographie des orientaux,"Ali, S. M",915.3 ALI,59327,
Arab geography in the ninth and tenth centuries,"Alavi, S. M. Ziauddin",915.3 ALA,59329,
Arab nationalism: an anthology,"Haim, Sylvia G., ed.",953 ARA,C10031,
Arab petro-politics,"Al-Sowayegh, Abdul Aziz",338.2728209174927 SOW,90857,
Arabic- English dictionary,"Steingass, F",492.7321 STE,249381,
Arabic for beginners,Syed Ali,492.78 SYE,161071,
Arabic grammar of the written language: with Arabic-English and English-Arabic vocabulary,"Thatcher, G.W.",492.75 THA,241126,
Arabs in history,"Lewis, Bernard",953.02 LEW,C10016,
Arms and the man: an anti-romantic comedy in three acts,"Shaw, Bernard",822.912 SHA,49842,
Armstrong's handbook of human resource management practice,"Armstrong, Michael",658.3 ARM,274262,
Arnold the poet,"Duffin, Henry Charles",821 DUF,31522,
Art and science of utilisation of electrical energy,"Partab, H.",333.7932 PAR,232715,
Art of electronics,"Horowitz, Paul",621.381 HOR,197252,
Art of writing reasonable organic reaction mechanisms,"Grossman, Robert B.",547.2 GRO,258616,
Artificial intelligence: a new sysnthesis,"Nilsson, Nils J.",006.3 NIL,265739,
Artificial intelligence: structures and strategies for complex problem solving,"Luger, George F.",006.3 LUG,265828,
Asian development styles,"Pieris, Ralph",303.440954 PIE,62947,
